"year","fod","n_days","m","var_v","sd_v","mean_c","ymin","ymax","letter","y","variable"
"2018","C1",2,1.69377576545158,0.156567201325586,0.395685735559909,49.4055530800384,19.865066804641,122.874425701615,"a",3885.63051402238,"NASC"
"2018","T3-4",1,2.92823796274487,0,0,847.691762211151,847.691762211151,847.691762211151,"a",26806.3672234909,"NASC"
"2018","T4-5",1,3.02113629113109,0,0,1049.87184976658,1049.87184976658,1049.87184976658,"a",33199.862965565,"NASC"
"2018","C2",10,1.8313302702601,0.0844673033059059,0.290632591609933,67.8157033289477,34.7294318536051,132.422829068609,"a",4187.57754059958,"NASC"
"2018","C3",9,1.99957220003529,0.0315616652542879,0.177656030728731,99.9015439176841,66.3614962230362,150.393210599017,"a",4755.85090118271,"NASC"
"2018","C4",5,2.89985636512284,0.20265242697185,0.450169331443014,794.065568772632,281.635264714123,2238.85360432487,"a",70798.76737344,"NASC"
"2018","C5",2,3.15034318190524,0.0418333968449245,0.204532141349286,1413.65418074276,882.695760168376,2263.99426949811,"a",71593.7850118311,"NASC"
"2018","T1-2",2,1.77098994099231,0.163890533434298,0.404833957857166,59.0187410257312,23.2357119065531,149.907685474443,"a",4740.49724863379,"NASC"
"2018","T2-3",5,1.95975467493281,0.0568906911981424,0.238517695775685,91.149580647252,52.6304373756229,157.860098955174,"a",4991.97464357915,"NASC"
"2018","NA",5,2.68230131298543,0.693256312838211,0.83262014919062,481.17306996159,70.7426238496222,3272.81503932367,"a",103495.498847164,"NASC"
"2021","C1",5,2.34848456163083,0.0237041509977092,0.153961524406941,223.092290087102,156.503133437363,318.013887665881,"b",10056.4821258911,"NASC"
"2021","T3-4",4,3.13373060491196,0.0157492587283506,0.125496050648419,1360.60043324032,1019.14165864511,1816.46341627804,"a",57441.6168180916,"NASC"
"2021","T5-6",1,3.75887632025489,0,0,5739.52986798608,5739.52986798608,5739.52986798608,"a",181499.870814015,"NASC"
"2021","C2",16,2.74715042366007,0.066694065832184,0.258251942552586,558.663661806776,308.246732113939,1012.51709915286,"b",32018.6020318959,"NASC"
"2021","C3",8,3.0589067972588,0.0252138312412944,0.158788637003075,1145.26713244904,794.544380221351,1650.80370249756,"b",52202.9966973128,"NASC"
"2021","C4",1,3.04678892501028,0,0,1113.75309783645,1113.75309783645,1113.75309783645,"a",35219.9654023154,"NASC"
"2021","C5",2,3.72533424423313,0.0114919201304313,0.107200373742032,5312.93183858146,4150.81971185779,6800.4024941808,"b",215047.608875013,"NASC"
"2021","C6",1,3.72541574276025,0,0,5313.92894254569,5313.92894254569,5313.92894254569,"a",168041.187827344,"NASC"
"2021","T1-2",2,2.44950861761394,0.038938783847366,0.197329125694526,281.519587591795,178.722607457973,443.442938333868,"a",14022.8969745262,"NASC"
"2021","T2-3",3,3.06468697334064,0.0340327358434806,0.184479635308293,1160.6117775392,758.939816638475,1774.87024482255,"b",56126.3252489993,"NASC"
"2021","NA",9,3.10123491323408,0.610234684864925,0.781175194732222,1262.51025146077,208.958344330862,7627.98987591381,"a",241218.219765928,"NASC"
"2022","T3-4",2,2.89135423268062,4.24590407005582e-05,0.00651606021308568,778.67141612394,767.075607113123,790.442517876917,"a",24995.9871592942,"NASC"
"2022","T4-6",2,3.44334496125948,0.00437872969554677,0.0661719706185842,2775.52383526932,2383.26859737824,3232.33922043975,"a",102215.541068827,"NASC"
"2022","T4-5",1,3.54152704543456,0,0,3479.58175866053,3479.58175866053,3479.58175866053,"ab",110034.036621416,"NASC"
"2022","T5-6",1,3.69840906005256,0,0,4993.54605919755,4993.54605919755,4993.54605919755,"a",157909.791480222,"NASC"
"2022","C2",7,2.63713831284239,0.048839669132763,0.22099698896764,433.648963657482,260.700175707021,721.332170840356,"b",22810.5260940922,"NASC"
"2022","C3",6,3.05019092849847,0.0204105795730011,0.142865599683763,1122.51183472562,807.839954358774,1559.75550887333,"b",49323.8000103468,"NASC"
"2022","C4",5,3.19425205340813,0.0532820394365494,0.230829026416847,1564.05511685967,919.227539323614,2661.22184543659,"a",84155.2239057619,"NASC"
"2022","C5",3,3.57876476956669,0.00764558433471724,0.0874390321007572,3791.09589160153,3099.74335357139,4636.64452825061,"b",146623.574098289,"NASC"
"2022","C6",6,3.47484259888884,0.0323737089536641,0.179926954494495,2984.30082437979,1972.03965789599,4516.16242844526,"a",142813.595571642,"NASC"
"2022","T2-3",4,2.90104674393707,0.0597205552765386,0.244377894410559,796.245047166846,453.5956171238,1397.73435016391,"b",44200.2411037329,"NASC"
"2022","NA",2,2.75765693523759,0.0323994203330805,0.179998389806911,572.343737555264,378.145159421834,866.274090139299,"a",27393.992028302,"NASC"
"2023","T3-4",3,3.0015381352356,0.00431744979122909,0.0657073039412598,1003.54796644962,862.642461216223,1167.46921957129,"a",36918.618319845,"NASC"
"2023","T4-6",2,3.81391958167956,8.26684464101468e-05,0.00909221900363969,6515.07743185078,6380.09819134547,6652.91233300911,"b",210383.560457334,"NASC"
"2023","T4-5",3,3.56801143680151,0.00284108798771554,0.0533018572632844,3698.37919040965,3271.21869495379,4181.3189247038,"b",132224.914256301,"NASC"
"2023","T5-6",3,3.48277564837094,0.0528517269748626,0.229895034689448,3039.31454446468,1790.1136892266,5160.24929354373,"a",163181.41061873,"NASC"
"2023","C2",8,2.77701764673051,0.181740400004632,0.426310215693492,598.435910871676,224.237080826718,1597.08438096177,"b",50504.2425931923,"NASC"
"2023","C3",9,2.86065032568001,0.0776237555494999,0.278610401007392,725.521564977386,381.979384574045,1378.03651847394,"b",43577.3409726635,"NASC"
"2023","C4",5,3.49850757822696,0.0327965783642711,0.181098256104997,3151.42937063068,2076.87004327093,4781.95884728168,"a",151218.816346034,"NASC"
"2023","C5",9,3.58931957785911,0.00597763047584547,0.0773151374301661,3884.36093575623,3250.90621246282,4641.24736093154,"b",146769.128447893,"NASC"
"2023","C6",7,3.43328485049185,0.0650122448626463,0.254974988700159,2711.9698093285,1507.68238849728,4878.20266577485,"a",154262.313117537,"NASC"
"2023","T2-3",4,2.69791365505286,0.112325666956742,0.33515021551051,498.785310807648,230.549104432302,1079.10541179541,"b",34124.3093668742,"NASC"
"2023","NA",3,2.55437753909569,0.185397144824811,0.430577687328095,358.407871374679,132.984140823465,965.951289137946,"a",30546.0618245177,"NASC"
